block,line,window,lag_ns,r
C,20.8.26 C Block new023_20260820_19,shallow 4-10ns,-4.6275,0.4266
C,20.8.26 C Block new023_20260820_19,mid 8-16ns,-0.0024,0.466
C,20.8.26 C Block new024_20260820_19,surface 0-3ns,0.2272,0.7152
C,20.8.26 C Block new024_20260820_19,shallow 4-10ns,-2.1735,0.2998
C,20.8.26 C Block new024_20260820_19,mid 8-16ns,-0.4437,0.5455
C,20.8.26 C Block new025_20260820_19,surface 0-3ns,0.3419,0.5881
C,20.8.26 C Block new025_20260820_19,shallow 4-10ns,-1.755,0.267
C,20.8.26 C Block new025_20260820_19,mid 8-16ns,1.0092,0.2803
C,20.8.26 C Block new026_20260820_19,surface 0-3ns,0.2355,0.7346
C,20.8.26 C Block new026_20260820_19,shallow 4-10ns,-3.3596,0.691
C,20.8.26 C Block new026_20260820_19,mid 8-16ns,-1.2736,0.4848
C,20.8.26 C Block new027_20260820_19,surface 0-3ns,0.2397,0.7332
C,20.8.26 C Block new027_20260820_19,shallow 4-10ns,2.9352,0.3844
C,20.8.26 C Block new027_20260820_19,mid 8-16ns,2.3443,0.4504
C,20.8.26 C Block new028_20260820_19,surface 0-3ns,0.2532,0.7054
C,20.8.26 C Block new028_20260820_19,shallow 4-10ns,-2.3638,0.396
C,20.8.26 C Block new028_20260820_19,mid 8-16ns,1.1434,0.7496
C,20.8.26 C Block new029_20260820_19,surface 0-3ns,0.247,0.7416
C,20.8.26 C Block new029_20260820_19,shallow 4-10ns,-6.1352,0.3793
C,20.8.26 C Block new029_20260820_19,mid 8-16ns,-3.1512,0.3117
C,20.8.26 C Block new030_20260820_19,surface 0-3ns,0.2292,0.732
C,20.8.26 C Block new030_20260820_19,shallow 4-10ns,-3.6892,0.5501
C,20.8.26 C Block new030_20260820_19,mid 8-16ns,2.7425,0.3754
C,20.8.26 C Block new031_20260820_19,surface 0-3ns,0.246,0.7249
C,20.8.26 C Block new031_20260820_19,shallow 4-10ns,-3.314,0.4294
C,20.8.26 C Block new031_20260820_19,mid 8-16ns,-2.5833,0.6441
C,20.8.26 C Block new032_20260820_19,surface 0-3ns,0.1649,0.7437
C,20.8.26 C Block new032_20260820_19,shallow 4-10ns,-3.7296,0.7102
C,20.8.26 C Block new032_20260820_19,mid 8-16ns,2.4883,0.5724
