block,l1,l2,r_nominal,r_best,shift_cm
C,5,24,0.6856,0.7434,4.98
C,5,25,0.8948,0.8948,0.0
C,5,26,0.7685,0.9559,4.98
C,5,27,0.7405,0.7571,2.49
C,5,28,0.7599,0.9263,9.96
C,5,29,0.6045,0.744,12.45
C,5,30,0.7919,0.7919,0.0
C,5,31,0.2622,0.6927,-12.45
C,6,18,0.1922,0.4713,12.45
C,6,19,0.2035,0.6437,4.98
C,6,20,0.4501,0.6428,2.49
C,6,21,0.3539,0.5197,9.96
C,6,22,0.5294,0.9067,12.45
C,6,23,0.6108,0.7385,-4.98
C,6,24,0.3881,0.6757,9.96
C,6,25,0.688,0.6957,2.49
C,6,26,0.6961,0.835,7.47
C,6,27,0.4077,0.7931,14.94
C,6,28,0.8285,0.8734,14.94
C,6,29,0.6503,0.7089,-4.98
C,6,30,0.7473,0.7582,-12.45
C,6,31,0.1618,0.2911,4.98
C,7,18,0.1616,0.6244,12.45
C,7,19,0.5911,0.5911,0.0
C,7,20,0.2701,0.7502,-7.47
C,7,21,0.4524,0.7456,-7.47
C,7,22,0.8319,0.893,2.49
C,7,23,0.8342,0.8342,0.0
C,7,24,0.6859,0.7685,2.49
C,7,25,0.5765,0.6462,-2.49
C,7,26,0.7382,0.8722,7.47
C,7,27,0.8338,0.928,9.96
C,7,28,0.8741,0.9418,12.45
C,7,29,0.8802,0.8802,0.0
C,7,30,0.4472,0.5254,-9.96
C,7,31,0.2568,0.5835,-17.43
C,8,18,0.1854,0.5915,-17.43
C,8,19,0.2291,0.5653,-7.47
C,8,20,0.5181,0.6554,-4.98
C,8,21,0.4525,0.7179,14.94
C,8,22,0.4469,0.9104,12.45
C,8,23,0.5541,0.5675,7.47
C,8,24,0.2498,0.6416,9.96
C,8,25,0.3845,0.4097,-2.49
C,8,26,0.0979,0.2859,4.98
C,8,27,0.5376,0.7981,-19.92
C,8,28,0.7848,0.9101,12.45
C,8,29,0.7351,0.7351,0.0
C,8,30,-0.118,0.6111,-14.94
C,8,31,-0.0973,0.4622,-19.92
C,9,18,0.4837,0.6507,-2.49
C,9,19,0.0794,0.6323,-9.96
C,9,20,0.0755,0.5298,-19.92
C,9,21,0.169,0.4499,17.43
C,9,22,-0.0193,0.7554,-19.92
C,9,23,-0.0622,0.3684,-19.92
C,9,24,0.0755,0.432,-19.92
C,9,25,0.1068,0.3872,9.96
C,9,26,-0.0653,0.3942,-19.92
C,9,27,0.4969,0.658,-14.94
C,9,28,0.6255,0.7867,-4.98
C,9,29,0.2139,0.6345,-14.94
C,9,30,-0.0349,0.5069,-12.45
C,9,31,-0.093,0.4209,-12.45
C,10,18,0.4729,0.4729,0.0
C,10,19,0.5217,0.5876,-2.49
C,10,20,0.3904,0.4564,14.94
C,10,21,0.4632,0.5024,12.45
C,10,22,0.5356,0.5879,-2.49
C,10,23,0.4477,0.5391,2.49
C,10,24,0.7065,0.8841,4.98
C,10,25,0.0588,0.3727,19.92
C,10,26,0.5821,0.6666,-19.92
C,10,27,0.0284,0.39,-19.92
C,10,28,0.7062,0.9082,7.47
C,10,29,0.5356,0.7812,7.47
C,10,30,-0.1495,0.6118,-12.45
C,10,31,0.0942,0.4006,-19.92
C,11,18,0.4477,0.6515,19.92
C,11,19,0.4595,0.4595,0.0
C,11,20,0.319,0.5952,19.92
C,11,21,0.5135,0.6438,-14.94
C,11,22,0.4555,0.5842,2.49
C,11,23,0.4063,0.4063,0.0
C,11,24,0.5186,0.912,4.98
